|User|Date Created|Number of Likes|Source of Tweet|Tweet|gender|text_clean
100|lxzubatch|2022-07-05 23:56:46+00:00|1|Twitter for Android|Hola les vengo a recordar que Katakuri es un hombre casado, gracias por su atención https://t.co/BGCRlQRvOX|male|hola vengo recordar katakuri hombre casado gracias atención
101|nitram_serrot|2022-07-05 23:56:45+00:00|4|Twitter for iPhone|@reneeangelica El beneficiado en este caso fue el. Quien quiere estar casado tan alguien tan egoísta. Ojalá y que los próximos que encuentres sean todos unos patanes, para que aprendas a valorar y sepas que por no trabajar junto a el, perdiste a un gran hombre.|male|beneficiado caso quiere casado tan alguien tan egoísta ojalá próximos encuentres patanes aprendas valorar sepas trabajar junto perdiste gran hombre
102|its_sandrii|2022-07-05 23:56:45+00:00|1|Twitter for Android|@iamjess92457597 Espero q anatomía también te haya enseñado que a eso q mencionaste del ano en el hombre no se le llama punto G sino punto P.. de nada|male|espero q anatomía enseñado q mencionaste ano hombre llama punto g sino punto p
103|acoelloger|2022-07-05 23:56:44+00:00|3|Twitter for Android|"Que chimbo que para mantenerse ""linda"" dependa de un hombre. O sea que si no estás con un hombre no te arreglas ni nada? XD Estamos en el 2022, ya nadie se arregla para los hombres XD https://t.co/HoS4B6hbxg"|male|chimbo mantenerse linda dependa hombre si hombre arreglas xd 2022 nadie arregla hombres xd
104|_Ursul4|2022-07-05 23:56:43+00:00|5|Twitter for iPhone|"No se hacen grandes cosas más que con la ciencia y la virtud. -la fe que se ha tenido no debe ser nunca una cadena-  El hombre construye la belleza de lo que ama y la santidad de lo que cree. 
Renan."|male|hacen grandes cosas ciencia virtud fe debe ser nunca cadena hombre construye belleza ama santidad cree renan
105|rodoalroa|2022-07-05 23:56:42+00:00|2|Twitter for iPhone|"Hitler en palacio - 05 de Jul. - Vía @reforma

“Pedirle al Presidente de todos los mexicanos de cualquier religión que enmiende esa falta de sensibilidad es como pedirle peras al olmo. Simplemente no sabe lo que es la autocrítica. Pobre hombre, porque…” https://t.co/i0cz6mR8sM"|male|hitler palacio 05 jul vía pedirle presidente mexicanos cualquier religión enmiende falta sensibilidad pedirle peras olmo simplemente sabe autocrítica pobre hombre
106|colecci61695577|2022-07-05 23:56:41+00:00|0|Twitter for Android|"Fue una cosa divina.
«Yo trabajaba en una finca que se llamaba Villa Eliana. Estábamos cogiendo café cuando pasaron corriendo dos mujeres y un hombre. Hacia parte de las FARC.»
«Uno solamente es un campesino que le gusta es laborar la tierra, salir hacia adelante.»"|male|cosa divina trabajaba finca llamaba villa eliana cogiendo café pasaron corriendo dos mujeres hombre hacia parte farc solamente campesino gusta laborar tierra salir hacia adelante
107|SourireCinthy|2022-07-05 23:56:38+00:00|0|Twitter for Android|Es el hombre más real de la industria, no se depilar los pelos 🤘 https://t.co/gMO4HTjn1H|male|hombre real industria depilar pelos
108|la_iguanatv|2022-07-05 23:56:37+00:00|2|Twitter Web App|"📢Simuló un robo: Detienen a hombre de 83 años por matar a su esposa en #Aragua

📸 VEA LA FOTO ACÁ ⬇️
https://t.co/0vAVotPstq"|male|simuló robo detienen hombre 83 años matar esposa aragua vea foto acá
109|TricolorChala|2022-07-05 23:56:32+00:00|77|Twitter for iPhone|El hombre https://t.co/nOu4o7umqC|male|hombre
